TOPIC,PMID,OFFSET,LENGTH,Total_PMID,Location
176,10024669,16245,13312,3,glycobiology
176,10024669,29566,2866,3,glycobiology
176,10024669,71706,688,3,glycobiology
187,10026145,5281,1913,1,jbc-1999
169,10026156,89168,3620,1,jbc-1999
182,10026167,7424,997,1,jbc-1999
173,10026168,5341,1206,1,jbc-1999
168,10026184,45651,1273,25,jbc-1999
168,10026184,16362,1486,25,jbc-1999
168,10026184,46945,1835,25,jbc-1999
168,10026184,30564,656,25,jbc-1999
168,10026184,5121,2038,25,jbc-1999
168,10026184,42268,1149,25,jbc-1999
168,10026184,0,1069,25,jbc-1999
168,10026184,49952,1128,25,jbc-1999
168,10026184,12416,1336,25,jbc-1999
168,10026184,52730,287,25,jbc-1999
168,10026184,40157,2108,25,jbc-1999
168,10026184,2537,2581,25,jbc-1999
168,10026184,9549,1056,25,jbc-1999
168,10026184,19094,2572,25,jbc-1999
168,10026184,17851,1240,25,jbc-1999
168,10026184,13755,640,25,jbc-1999
168,10026184,11160,1253,25,jbc-1999
168,10026184,43438,784,25,jbc-1999
168,10026184,32258,1304,25,jbc-1999
168,10026184,29050,1511,25,jbc-1999
168,10026184,26813,738,25,jbc-1999
168,10026184,8212,1328,25,jbc-1999
168,10026184,7168,1035,25,jbc-1999
168,10026184,1440,1094,25,jbc-1999
174,10026184,2537,2581,25,jbc-1999
175,10026203,34068,1799,12,jbc-1999
175,10026203,49269,3294,12,jbc-1999
175,10026203,8366,957,12,jbc-1999
175,10026203,97395,1995,12,jbc-1999
175,10026203,2816,3529,12,jbc-1999
175,10026203,82287,4167,12,jbc-1999
175,10026203,28942,1292,12,jbc-1999
175,10026203,12060,1951,12,jbc-1999
175,10026203,0,1181,12,jbc-1999
175,10026203,16019,1737,12,jbc-1999
175,10026203,6348,2009,12,jbc-1999
175,10026203,31597,1088,12,jbc-1999
186,10026204,2427,2871,3,jbc-1999
186,10026204,43611,2154,3,jbc-1999
186,10026204,5301,2879,3,jbc-1999
179,10026211,6656,1365,1,jbc-1999
167,10026221,69340,1666,1,jbc-1999
178,10029602,45801,417,1,blood
167,10029603,29705,1831,1,blood
173,10036250,57935,355,1,jneuro
187,10036252,94912,27483,1,jneuro
187,10036281,51927,17460,1,jneuro
177,10036284,25486,305,1,jneuro
164,10036286,2059,3248,1,jneuro
173,10036287,86784,28287,1,jneuro
162,10037094,1752,1586,2,jnci
168,10037094,5569,1075,2,jnci
163,10037099,62055,1837,7,jnci
163,10037099,65759,1407,7,jnci
163,10037099,63895,1820,7,jnci
163,10037099,61402,601,7,jnci
172,10037099,47603,1929,7,jnci
178,10037099,42340,1446,7,jnci
184,10037099,63895,1820,7,jnci
175,10037100,24946,813,2,jnci
175,10037100,89151,23664,2,jnci
167,10037103,64973,20498,1,jnci
162,10037104,4844,2148,3,jnci
174,10037104,12481,1566,3,jnci
174,10037104,27412,897,3,jnci
170,10037693,2856,4271,3,jbc-1999
176,10037693,2856,4271,3,jbc-1999
176,10037693,10159,1528,3,jbc-1999
187,10037699,13186,743,1,jbc-1999
167,10037701,9202,910,1,jbc-1999
169,10037710,820,1094,2,jbc-1999
